speaker,iso_lang,text,sex,duration,syllables,age
CAT_M3(Da),CAT,P1,M,17.7,127,31.0
CAT_M3(Da),CAT,P2,M,15.95,118,31.0
CAT_M3(Da),CAT,P3,M,18.51,131,31.0
CAT_M3(Da),CAT,P8,M,14.96,117,31.0
CAT_M3(Da),CAT,P9,M,15.8,119,31.0
CAT_M3(Da),CAT,Q0,M,15.83,127,31.0
CAT_M3(Da),CAT,Q1,M,11.83,93,31.0
CAT_M4(Ma),CAT,O1,M,14.76,88,44.0
CAT_M4(Ma),CAT,O2,M,19.01,118,44.0
CAT_M4(Ma),CAT,O3,M,21.16,139,44.0
CAT_M4(Ma),CAT,O4,M,21.32,142,44.0
CAT_M4(Ma),CAT,O6,M,14.12,99,44.0
CAT_M4(Ma),CAT,O8,M,17.95,131,44.0
CAT_M4(Ma),CAT,O9,M,11.16,81,44.0
CAT_M4(Ma),CAT,P0,M,17.82,122,44.0
CAT_M4(Ma),CAT,P1,M,17.9,127,44.0
CAT_M4(Ma),CAT,P2,M,16.33,118,44.0
CAT_M4(Ma),CAT,P3,M,18.44,131,44.0
CAT_M4(Ma),CAT,P8,M,16.7,117,44.0
CAT_M4(Ma),CAT,P9,M,18.38,119,44.0
CAT_M4(Ma),CAT,Q0,M,19.0,127,44.0
CAT_M4(Ma),CAT,Q1,M,13.66,93,44.0
CAT_M5(Jo),CAT,O1,M,13.48,88,42.0
CAT_M5(Jo),CAT,O2,M,16.67,118,42.0
CAT_M5(Jo),CAT,O3,M,20.8,139,42.0
CAT_M5(Jo),CAT,O4,M,23.48,142,42.0
CAT_M5(Jo),CAT,O6,M,15.69,99,42.0
CAT_M5(Jo),CAT,O8,M,17.42,131,42.0
CAT_M5(Jo),CAT,O9,M,11.04,81,42.0
CAT_M5(Jo),CAT,P0,M,19.09,122,42.0
CAT_M5(Jo),CAT,P1,M,18.71,127,42.0
CAT_M5(Jo),CAT,P2,M,15.98,118,42.0
CAT_M5(Jo),CAT,P3,M,20.06,131,42.0
CAT_M5(Jo),CAT,P8,M,19.68,117,42.0
CAT_M5(Jo),CAT,P9,M,17.72,119,42.0
CAT_M5(Jo),CAT,Q0,M,18.19,127,42.0
CAT_M5(Jo),CAT,Q1,M,14.64,93,42.0
CMN_F1(Hu),CMN,O1,F,10.62,60,19.0
CMN_F1(Hu),CMN,O2,F,11.94,73,19.0
CMN_F1(Hu),CMN,O3,F,12.21,73,19.0
CMN_F1(Hu),CMN,O4,F,14.69,80,19.0
CMN_F1(Hu),CMN,O6,F,10.88,64,19.0
CMN_F1(Hu),CMN,O8,F,11.37,69,19.0
CMN_F1(Hu),CMN,O9,F,9.87,57,19.0
CMN_F1(Hu),CMN,P0,F,16.93,100,19.0
CMN_F1(Hu),CMN,P1,F,12.18,70,19.0
CMN_F1(Hu),CMN,P2,F,11.37,65,19.0
CMN_F1(Hu),CMN,P3,F,14.44,77,19.0
CMN_F1(Hu),CMN,P8,F,13.23,78,19.0
CMN_F1(Hu),CMN,P9,F,12.7,76,19.0
CMN_F1(Hu),CMN,Q0,F,11.87,68,19.0
CMN_F1(Hu),CMN,Q1,F,9.53,57,19.0
CMN_F2(Yu),CMN,O1,F,10.22,60,19.0
CMN_F2(Yu),CMN,O2,F,12.09,73,19.0
CMN_F2(Yu),CMN,O3,F,12.35,73,19.0
CMN_F2(Yu),CMN,O4,F,14.61,80,19.0
CMN_F2(Yu),CMN,O6,F,10.81,64,19.0
CMN_F2(Yu),CMN,O8,F,11.41,69,19.0
CMN_F2(Yu),CMN,O9,F,9.88,57,19.0
CMN_F2(Yu),CMN,P0,F,17.75,100,19.0
CMN_F2(Yu),CMN,P1,F,12.47,70,19.0
CMN_F2(Yu),CMN,P2,F,11.8,65,19.0
CMN_F2(Yu),CMN,P3,F,14.94,77,19.0
CMN_F2(Yu),CMN,P8,F,13.7,78,19.0
CMN_F2(Yu),CMN,P9,F,13.0,76,19.0
CMN_F2(Yu),CMN,Q0,F,11.46,68,19.0
CMN_F2(Yu),CMN,Q1,F,9.97,57,19.0
CMN_F3(Ma),CMN,O1,F,11.66,60,25.0
CMN_F3(Ma),CMN,O2,F,14.58,73,25.0
CMN_F3(Ma),CMN,O3,F,13.59,73,25.0
CMN_F3(Ma),CMN,O4,F,16.89,80,25.0
CMN_F3(Ma),CMN,O6,F,12.07,64,25.0
CMN_F3(Ma),CMN,O8,F,12.3,69,25.0
CMN_F3(Ma),CMN,O9,F,10.61,57,25.0
CMN_F3(Ma),CMN,P0,F,18.43,100,25.0
CMN_F3(Ma),CMN,P1,F,14.2,70,25.0
CMN_F3(Ma),CMN,P2,F,12.37,65,25.0
CMN_F3(Ma),CMN,P3,F,16.53,77,25.0
CMN_F3(Ma),CMN,P8,F,14.19,78,25.0
CMN_F3(Ma),CMN,P9,F,14.19,76,25.0
CMN_F3(Ma),CMN,Q0,F,13.68,68,25.0
CMN_F3(Ma),CMN,Q1,F,11.22,57,25.0
CMN_F4(Fe),CMN,O1,F,9.83,60,28.0
CMN_F4(Fe),CMN,O2,F,11.23,73,28.0
CMN_F4(Fe),CMN,O3,F,11.5,73,28.0
CMN_F4(Fe),CMN,O4,F,15.31,80,28.0
CMN_F4(Fe),CMN,O6,F,10.75,64,28.0
CMN_F4(Fe),CMN,O8,F,11.5,69,28.0
CMN_F4(Fe),CMN,O9,F,9.07,57,28.0
CMN_F4(Fe),CMN,P0,F,17.54,100,28.0
CMN_F4(Fe),CMN,P1,F,12.72,70,28.0
CMN_F4(Fe),CMN,P2,F,11.57,65,28.0
CMN_F4(Fe),CMN,P3,F,14.36,77,28.0
CMN_F4(Fe),CMN,P8,F,15.0,78,28.0
CMN_F4(Fe),CMN,P9,F,13.01,76,28.0
CMN_F4(Fe),CMN,Q0,F,13.03,68,28.0
CMN_F4(Fe),CMN,Q1,F,9.65,57,28.0
CMN_F6(Xu),CMN,O1,F,9.12,60,
CMN_F6(Xu),CMN,O2,F,10.25,73,
CMN_F6(Xu),CMN,O3,F,10.71,73,
CMN_F6(Xu),CMN,O4,F,12.98,80,
CMN_F6(Xu),CMN,O6,F,9.47,64,
CMN_F6(Xu),CMN,O8,F,9.55,69,
CMN_F6(Xu),CMN,O9,F,8.17,57,
CMN_F6(Xu),CMN,P0,F,16.12,100,
CMN_F6(Xu),CMN,P1,F,10.93,70,
CMN_F6(Xu),CMN,P2,F,9.41,65,
CMN_F6(Xu),CMN,P3,F,13.4,77,
CMN_F6(Xu),CMN,P8,F,12.03,78,
CMN_F6(Xu),CMN,P9,F,11.49,76,
CMN_F6(Xu),CMN,Q0,F,10.17,68,
CMN_F6(Xu),CMN,Q1,F,8.96,57,
CMN_M1(Cha),CMN,O1,M,11.38,60,19.0
CMN_M1(Cha),CMN,O2,M,13.15,73,19.0
CMN_M1(Cha),CMN,O3,M,13.63,73,19.0
CMN_M1(Cha),CMN,O4,M,16.18,80,19.0
CMN_M1(Cha),CMN,O6,M,12.55,64,19.0
CMN_M1(Cha),CMN,O8,M,12.81,69,19.0
CMN_M1(Cha),CMN,O9,M,10.55,57,19.0
CMN_M1(Cha),CMN,P0,M,19.62,100,19.0
CMN_M1(Cha),CMN,P1,M,13.01,70,19.0
CMN_M1(Cha),CMN,P2,M,12.49,65,19.0
CMN_M1(Cha),CMN,P3,M,15.81,77,19.0
CMN_M1(Cha),CMN,P8,M,15.6,78,19.0
CMN_M1(Cha),CMN,P9,M,14.68,76,19.0
CMN_M1(Cha),CMN,Q0,M,13.45,68,19.0
CMN_M1(Cha),CMN,Q1,M,10.7,57,19.0
CMN_M2(Ye),CMN,O1,M,8.29,60,24.0
CMN_M2(Ye),CMN,O2,M,10.9,73,24.0
CMN_M2(Ye),CMN,O3,M,10.14,73,24.0
CMN_M2(Ye),CMN,O4,M,13.31,80,24.0
CMN_M2(Ye),CMN,O6,M,9.46,64,24.0
CMN_M2(Ye),CMN,O8,M,10.11,69,24.0
CMN_M2(Ye),CMN,O9,M,8.25,57,24.0
CMN_M2(Ye),CMN,P0,M,15.8,100,24.0
CMN_M2(Ye),CMN,P1,M,10.03,70,24.0
CMN_M2(Ye),CMN,P2,M,9.81,65,24.0
CMN_M2(Ye),CMN,P3,M,12.5,77,24.0
CMN_M2(Ye),CMN,P8,M,12.29,78,24.0
CMN_M2(Ye),CMN,P9,M,11.7,76,24.0
CMN_M2(Ye),CMN,Q0,M,10.29,68,24.0
CMN_M2(Ye),CMN,Q1,M,8.78,57,24.0
CMN_M4(Yi),CMN,O1,M,11.07,60,31.0
CMN_M4(Yi),CMN,O2,M,14.42,73,31.0
CMN_M4(Yi),CMN,O3,M,14.08,73,31.0
CMN_M4(Yi),CMN,O4,M,16.35,80,31.0
CMN_M4(Yi),CMN,O6,M,12.04,64,31.0
CMN_M4(Yi),CMN,O8,M,13.18,69,31.0
CMN_M4(Yi),CMN,O9,M,10.58,57,31.0
CMN_M4(Yi),CMN,P0,M,20.03,100,31.0
CMN_M4(Yi),CMN,P1,M,13.4,70,31.0
CMN_M4(Yi),CMN,P2,M,12.58,65,31.0
CMN_M4(Yi),CMN,P3,M,14.91,77,31.0
CMN_M4(Yi),CMN,P8,M,15.85,78,31.0
CMN_M4(Yi),CMN,P9,M,14.85,76,31.0
CMN_M4(Yi),CMN,Q0,M,13.17,68,31.0
CMN_M4(Yi),CMN,Q1,M,10.94,57,31.0
CMN_M5(Qi),CMN,O1,M,9.94,60,24.0
CMN_M5(Qi),CMN,O2,M,11.75,73,24.0
CMN_M5(Qi),CMN,O3,M,10.95,73,24.0
CMN_M5(Qi),CMN,O4,M,14.31,80,24.0
CMN_M5(Qi),CMN,O6,M,9.96,64,24.0
CMN_M5(Qi),CMN,O8,M,10.13,69,24.0
CMN_M5(Qi),CMN,O9,M,10.09,57,24.0
CMN_M5(Qi),CMN,P0,M,15.46,100,24.0
CMN_M5(Qi),CMN,P1,M,12.91,70,24.0
CMN_M5(Qi),CMN,P2,M,11.23,65,24.0
CMN_M5(Qi),CMN,P3,M,13.68,77,24.0
CMN_M5(Qi),CMN,P8,M,12.58,78,24.0
CMN_M5(Qi),CMN,P9,M,12.77,76,24.0
CMN_M5(Qi),CMN,Q0,M,11.32,68,24.0
CMN_M5(Qi),CMN,Q1,M,8.84,57,24.0
CMN_M6(Na),CMN,O1,M,9.54,60,19.0
CMN_M6(Na),CMN,O2,M,10.49,73,19.0
CMN_M6(Na),CMN,O3,M,11.51,73,19.0
CMN_M6(Na),CMN,O4,M,13.38,80,19.0
CMN_M6(Na),CMN,O6,M,9.77,64,19.0
CMN_M6(Na),CMN,O8,M,9.85,69,19.0
CMN_M6(Na),CMN,O9,M,8.78,57,19.0
CMN_M6(Na),CMN,P0,M,16.12,100,19.0
CMN_M6(Na),CMN,P1,M,11.19,70,19.0
CMN_M6(Na),CMN,P2,M,10.74,65,19.0
CMN_M6(Na),CMN,P3,M,13.61,77,19.0
CMN_M6(Na),CMN,P8,M,12.76,78,19.0
CMN_M6(Na),CMN,P9,M,11.48,76,19.0
CMN_M6(Na),CMN,Q0,M,10.61,68,19.0
CMN_M6(Na),CMN,Q1,M,9.06,57,19.0
DEU_aj,DEU,O1,F,17.96,86,
DEU_aj,DEU,O4,F,18.35,87,
DEU_aj,DEU,O6,F,16.6,82,
DEU_aj,DEU,O9,F,12.32,60,
DEU_aj,DEU,P0,F,24.4,111,
DEU_aj,DEU,Q0,F,21.9,113,
DEU_bg,DEU,O2,M,16.49,117,
DEU_bg,DEU,O3,M,12.8,86,
DEU_bg,DEU,O8,M,15.9,115,
DEU_bg,DEU,P1,M,14.66,105,
DEU_bg,DEU,P2,M,13.79,90,
DEU_bg,DEU,P3,M,14.45,106,
DEU_bg,DEU,P8,M,13.19,87,
DEU_bg,DEU,P9,M,12.84,92,
DEU_bg,DEU,Q1,M,13.84,94,
DEU_ga,DEU,O1,F,13.61,86,
DEU_ga,DEU,O4,F,14.63,87,
DEU_ga,DEU,O6,F,12.64,82,
DEU_ga,DEU,O9,F,9.0,60,
DEU_ga,DEU,P0,F,18.79,111,
DEU_ga,DEU,Q0,F,16.16,113,
DEU_hm,DEU,O2,M,16.17,117,
DEU_hm,DEU,O3,M,13.8,86,
DEU_hm,DEU,O8,M,15.32,115,
DEU_hm,DEU,P1,M,14.39,105,
DEU_hm,DEU,P2,M,13.83,90,
DEU_hm,DEU,P3,M,15.62,106,
DEU_hm,DEU,P8,M,13.52,87,
DEU_hm,DEU,P9,M,13.13,92,
DEU_hm,DEU,Q1,M,12.93,94,
DEU_jm,DEU,O2,F,16.66,117,
DEU_jm,DEU,O3,F,13.43,86,
DEU_jm,DEU,O8,F,15.08,115,
DEU_jm,DEU,P1,F,14.43,105,
DEU_jm,DEU,P2,F,13.47,90,
DEU_jm,DEU,P3,F,15.16,106,
DEU_jm,DEU,P8,F,12.73,87,
DEU_jm,DEU,P9,F,13.21,92,
DEU_jm,DEU,Q1,F,13.04,94,
DEU_mi,DEU,O2,F,25.14,117,
DEU_mi,DEU,O3,F,20.04,86,
DEU_mi,DEU,O8,F,21.37,115,
DEU_mi,DEU,P1,F,20.3,105,
DEU_mi,DEU,P2,F,19.98,90,
DEU_mi,DEU,P3,F,24.49,106,
DEU_mi,DEU,P8,F,18.6,87,
DEU_mi,DEU,P9,F,20.16,92,
DEU_mi,DEU,Q1,F,19.24,94,
DEU_mj,DEU,O1,M,14.76,86,
DEU_mj,DEU,O4,M,15.31,87,
DEU_mj,DEU,O6,M,13.69,82,
DEU_mj,DEU,O9,M,9.7,60,
DEU_mj,DEU,P0,M,19.57,111,
DEU_mj,DEU,Q0,M,17.26,113,
DEU_qk,DEU,O1,M,13.96,86,
DEU_qk,DEU,O4,M,14.68,87,
DEU_qk,DEU,O6,M,13.55,82,
DEU_qk,DEU,O9,M,9.72,60,
DEU_qk,DEU,P0,M,19.62,111,
DEU_qk,DEU,Q0,M,16.71,113,
DEU_sm,DEU,O1,M,12.11,86,
DEU_sm,DEU,O4,M,13.23,87,
DEU_sm,DEU,O6,M,11.8,82,
DEU_sm,DEU,O9,M,8.66,60,
DEU_sm,DEU,P0,M,16.97,111,
DEU_sm,DEU,Q0,M,14.93,113,
DEU_ss,DEU,O2,F,23.71,117,
DEU_ss,DEU,O3,F,20.4,86,
DEU_ss,DEU,O8,F,20.91,115,
DEU_ss,DEU,P1,F,20.28,105,
DEU_ss,DEU,P2,F,18.79,90,
DEU_ss,DEU,P3,F,19.49,106,
DEU_ss,DEU,P8,F,17.99,87,
DEU_ss,DEU,P9,F,18.53,92,
DEU_ss,DEU,Q1,F,18.79,94,
ENG_fa,ENG,O1,M,10.93,70,
ENG_fa,ENG,O2,M,14.53,86,
ENG_fa,ENG,O3,M,14.03,85,
ENG_fa,ENG,O4,M,15.94,84,
ENG_fa,ENG,O6,M,12.03,67,
ENG_fa,ENG,O8,M,13.84,84,
ENG_fa,ENG,O9,M,10.07,67,
ENG_fa,ENG,P1,M,16.37,105,
ENG_fa,ENG,P2,M,14.15,76,
ENG_fa,ENG,P3,M,16.03,91,
ENG_fb,ENG,Q0,M,12.15,88,
ENG_fb,ENG,Q1,M,10.26,62,
ENG_fc,ENG,P0,F,13.78,92,
ENG_fc,ENG,P8,F,10.94,77,
ENG_fc,ENG,P9,F,13.16,91,
ENG_fc,ENG,Q0,F,11.52,88,
ENG_fc,ENG,Q1,F,9.79,62,
ENG_fd,ENG,O1,M,9.26,70,
ENG_fd,ENG,O2,M,11.5,86,
ENG_fd,ENG,O3,M,11.01,85,
ENG_fd,ENG,O4,M,13.2,84,
ENG_fd,ENG,O6,M,9.53,67,
ENG_fd,ENG,O8,M,11.21,84,
ENG_fd,ENG,O9,M,8.71,67,
ENG_fe,ENG,O1,M,10.75,70,
ENG_fe,ENG,O2,M,13.41,86,
ENG_fe,ENG,O3,M,12.48,85,
ENG_fe,ENG,O4,M,13.84,84,
ENG_ff,ENG,O6,F,10.73,67,
ENG_ff,ENG,O8,F,13.25,84,
ENG_ff,ENG,O9,F,9.66,67,
ENG_ff,ENG,P0,F,15.65,92,
ENG_ff,ENG,P1,F,14.69,105,
ENG_ff,ENG,P2,F,12.89,76,
ENG_ff,ENG,P3,F,15.86,91,
ENG_ff,ENG,P8,F,12.5,77,
ENG_ff,ENG,P9,F,14.63,91,
ENG_fg,ENG,P0,F,14.99,92,
ENG_fg,ENG,P1,F,14.21,105,
ENG_fg,ENG,P2,F,12.01,76,
ENG_fg,ENG,P3,F,13.84,91,
ENG_fg,ENG,P8,F,11.14,77,
ENG_fg,ENG,P9,F,13.71,91,
ENG_fg,ENG,Q1,F,9.77,62,
ENG_fh,ENG,Q0,F,14.72,88,
ENG_fi,ENG,O1,M,11.67,70,
ENG_fi,ENG,O2,M,15.29,86,
ENG_fi,ENG,O3,M,14.39,85,
ENG_fi,ENG,O4,M,15.77,84,
ENG_fi,ENG,O6,M,11.76,67,
ENG_fi,ENG,O8,M,14.57,84,
ENG_fi,ENG,O9,M,10.34,67,
ENG_fi,ENG,P1,M,16.53,105,
ENG_fi,ENG,P2,M,14.9,76,
ENG_fi,ENG,P3,M,16.86,91,
ENG_fj,ENG,P0,F,16.69,92,
ENG_fj,ENG,P8,F,13.0,77,
ENG_fj,ENG,P9,F,16.27,91,
ENG_fj,ENG,Q0,F,12.84,88,
ENG_fj,ENG,Q1,F,11.35,62,
EUS_F1(Am),EUS,O1,F,12.89,102,28.0
EUS_F1(Am),EUS,O2,F,13.56,106,28.0
EUS_F1(Am),EUS,O3,F,14.24,108,28.0
EUS_F1(Am),EUS,O4,F,16.06,135,28.0
EUS_F1(Am),EUS,O6,F,11.89,107,28.0
EUS_F1(Am),EUS,O8,F,14.78,138,28.0
EUS_F1(Am),EUS,O9,F,7.14,67,28.0
EUS_F1(Am),EUS,P0,F,18.01,142,28.0
EUS_F1(Am),EUS,P1,F,14.05,117,28.0
EUS_F1(Am),EUS,P2,F,12.03,109,28.0
EUS_F1(Am),EUS,P3,F,13.92,119,28.0
EUS_F1(Am),EUS,P8,F,14.66,121,28.0
EUS_F1(Am),EUS,P9,F,14.16,106,28.0
EUS_F1(Am),EUS,Q0,F,14.16,121,28.0
EUS_F1(Am),EUS,Q1,F,10.72,87,28.0
EUS_F2(Ux),EUS,O1,F,14.2,102,19.0
EUS_F2(Ux),EUS,O2,F,14.91,106,19.0
EUS_F2(Ux),EUS,O3,F,16.6,108,19.0
EUS_F2(Ux),EUS,O4,F,18.96,135,19.0
EUS_F2(Ux),EUS,O6,F,14.87,107,19.0
EUS_F2(Ux),EUS,O8,F,18.47,138,19.0
EUS_F2(Ux),EUS,O9,F,9.17,67,19.0
EUS_F2(Ux),EUS,P0,F,19.63,142,19.0
EUS_F2(Ux),EUS,P1,F,16.08,117,19.0
EUS_F2(Ux),EUS,P2,F,15.51,109,19.0
EUS_F2(Ux),EUS,P3,F,17.27,119,19.0
EUS_F2(Ux),EUS,P8,F,17.21,121,19.0
EUS_F2(Ux),EUS,P9,F,16.9,106,19.0
EUS_F2(Ux),EUS,Q0,F,16.95,121,19.0
EUS_F2(Ux),EUS,Q1,F,12.84,87,19.0
EUS_F3(En),EUS,O1,F,13.72,102,30.0
EUS_F3(En),EUS,O2,F,14.51,106,30.0
EUS_F3(En),EUS,O3,F,16.28,108,30.0
EUS_F3(En),EUS,O4,F,17.92,135,30.0
EUS_F3(En),EUS,O6,F,14.25,107,30.0
EUS_F3(En),EUS,O8,F,16.8,138,30.0
EUS_F3(En),EUS,O9,F,8.64,67,30.0
EUS_F3(En),EUS,P0,F,19.46,142,30.0
EUS_F3(En),EUS,P1,F,16.15,117,30.0
EUS_F3(En),EUS,P2,F,14.0,109,30.0
EUS_F3(En),EUS,P3,F,15.47,119,30.0
EUS_F3(En),EUS,P8,F,15.48,121,30.0
EUS_F3(En),EUS,P9,F,15.05,106,30.0
EUS_F3(En),EUS,Q0,F,16.24,121,30.0
EUS_F3(En),EUS,Q1,F,12.22,87,30.0
EUS_F4(Ux2),EUS,O1,F,14.37,102,29.0
EUS_F4(Ux2),EUS,O2,F,16.43,106,29.0
EUS_F4(Ux2),EUS,O3,F,16.76,108,29.0
EUS_F4(Ux2),EUS,O4,F,18.98,135,29.0
EUS_F4(Ux2),EUS,O6,F,15.56,107,29.0
EUS_F4(Ux2),EUS,O8,F,20.54,138,29.0
EUS_F4(Ux2),EUS,O9,F,10.26,67,29.0
EUS_F4(Ux2),EUS,P0,F,20.47,142,29.0
EUS_F4(Ux2),EUS,P1,F,17.66,117,29.0
EUS_F4(Ux2),EUS,P2,F,15.42,109,29.0
EUS_F4(Ux2),EUS,P3,F,16.75,119,29.0
EUS_F4(Ux2),EUS,P8,F,17.89,121,29.0
EUS_F4(Ux2),EUS,P9,F,17.33,106,29.0
EUS_F4(Ux2),EUS,Q0,F,18.1,121,29.0
EUS_F4(Ux2),EUS,Q1,F,12.87,87,29.0
EUS_F5(Am2),EUS,O1,F,12.83,102,31.0
EUS_F5(Am2),EUS,O2,F,15.28,106,31.0
EUS_F5(Am2),EUS,O3,F,15.56,108,31.0
EUS_F5(Am2),EUS,O4,F,16.98,135,31.0
EUS_F5(Am2),EUS,O6,F,13.44,107,31.0
